Text,CaptionType,DocumentId,PageNumber,Popularity,Score
"Valves — Flanged, Threaded, and Welding End",Title,BGWRBGAAAAAAAAAA,1,500,5.45952420864151
2.1.1 Rating Designations. Pressure–temperature,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
2.1 General,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
2 PRESSURE–TEMPERATURE RATINGS,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
1.7 References,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
1.6 Cryogenic Service,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
7 PRESSURE TESTING 7.1 Shell Test,Title,BGWRBGAAAAAAAAAA,28,200,5.30826769740121
7.2 Valve Closure Tests,Heading,BGWRBGAAAAAAAAAA,28,200,5.30826769740121
2.1.5 Intermediate Rated Valves. A Standard Class or,Heading,BGWRBGAAAAAAAAAA,19,200,5.30826769740121
8.3.1 Castings,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
8.3 Required Examination,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
8.2 General,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
8.1 Scope,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
8 REQUIREMENTS FOR SPECIAL CLASS VALVES,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
7.4 Surface Protection,Heading,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
7.3 Leakage Detection Devices,Title,BGWRBGAAAAAAAAAA,29,175,5.17614973257383
CONTENTS,Title,BGWRBGAAAAAAAAAA,4,175,5.17614973257383
2.6 Multiple Material Grades,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
the rated pressure for a valve furnished under this,Title,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
4 MARKING,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
3 NOMINAL PIPE SIZE,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
2.7 Local Operating Conditions,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
4.2 Identification Markings,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
4.1 General,Heading,BGWRBGAAAAAAAAAA,21,158.3333333,5.07725498122975
"Working Pressures by Class, bar",Title,BGWRBGAAAAAAAAAA,45,150,5.02388052084628
"Temperature, °C",Title,BGWRBGAAAAAAAAAA,45,150,5.02388052084628
"(1) Upon prolonged exposure to temperatures above 425°C, the carbide phase of steel may be converted to graphite. Permissible, but not recommended for prolonged usage above 425°C. (2) Only killed steel shall be used above 455°C. ASME B16.34-2017",TableCap,BGWRBGAAAAAAAAAA,45,150,5.02388052084628
Table 2-1.1 Ratings for Group 1.1 Materials,TableCap,BGWRBGAAAAAAAAAA,45,150,5.02388052084628
1.5 Denotation,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
1.4 Convention,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
1.3 Selection of Valve Types and Material Service Conditions,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
1.2 Applicability,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
1.1 General,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
1 SCOPE,Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
"VALVES — FLANGED, THREADED, AND WELDING END",Title,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
"1.2.2 Time of Purchase, Manufacture, or Installation.",Heading,BGWRBGAAAAAAAAAA,18,141.6666667,4.96749580166766
6 DIMENSIONS,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
6.1.2 Inside Diameter. For the purpose of determining,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
6.1 Body Dimensions,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
5.2 Material Selection,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
5.3 Electrical Continuity,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
5.4 Flange Removal,Heading,BGWRBGAAAAAAAAAA,23,133.3333333,4.90774087068732
